Designator,Function,Value,Footprint,Quantity,Price,Amount,Link
PCB+stencil,PCB+stencil,Front and back both,16x16mm,5+2,2.1+6.14,8.24,https://jlcpcb.com/
"C11, C9",Capacitor,100p,402,50,0.0112,0.56,https://www.lcsc.com/product-detail/C77177.html
"C12, C13, C14, C15, C18, C2, C4, C8",Capacitor,100n,402,100,0.0067,0.67,https://www.lcsc.com/product-detail/C60474.html
C19,Capacitor,27p,402,100,0.0036,0.36,https://www.lcsc.com/product-detail/C1557.html
"C20, C23, C24, C3, C5",Capacitor,470p,402,50,0.0176,0.88,https://www.lcsc.com/product-detail/C76971.html
"C21, C22",Capacitor,10u,603,10,0.04,0.4,https://www.lcsc.com/product-detail/C18164635.html
C6,Capacitor,10n,402,100,0.0041,0.41,https://www.lcsc.com/product-detail/C5137480.html
D1,LED,LED,402,20,0.0357,0.714,https://www.lcsc.com/product-detail/C5123495.html
FL1,Filter,SAFFB1G56KB0F0A,Filter_1109-5_1.1x0.9mm,10,0.072,0.72,https://www.lcsc.com/product-detail/C91647.html
"J1, J2",Connector,Conn_Coaxial_Small,U.FL_Molex_MCRF_73412-0110_Vertical,5,0.1019,0.51,https://www.lcsc.com/product-detail/C88374.html
J3,Connector,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,20,0.026,0.52,https://www.lcsc.com/product-detail/C2691448.html
L1,Inductor,27n,402,10,0.09,0.9,https://www.lcsc.com/product-detail/C882469.html
L2,Inductor,2.2u,402,5,0.304,1.52,https://www.lcsc.com/product-detail/C3911260.html
"R1, R2, R6",Resistor,10k,402,100,0.0025,0.25,https://www.lcsc.com/product-detail/C2906861.html
R3,Resistor,1k,402,100,0.0041,0.41,https://www.lcsc.com/product-detail/C106235.html
R4,Resistor,20k,402,100,0.005,0.5,https://www.lcsc.com/product-detail/C93942.html
U2,FPGA,ICE40UP5K-SG48I,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,8.56,8.56,https://www.lcsc.com/product-detail/C2678152.html
U3,GPS Frontend,MAX2769C,TQFN-28-1EP_5x5mm_P0.5mm_EP3.25x3.25mm,1,3.24,3.24,https://www.lcsc.com/product-detail/C400150.html
U4,Buck,PAM2305CGF120,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,5,0.198,0.99,https://www.lcsc.com/product-detail/C110511.html
U5,qSPI storage,W25Q16JVUXIQ,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,1.62,1.62,https://www.lcsc.com/product-detail/C2843335.html
Y1,TXCO Crystal 16.368MHz,1XXB16368MBA,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,0.95,0.95,https://www.lcsc.com/product-detail/C213423.html
Hot air gun,For soldering dual sided PCB,,,1,45.18,45.18,https://robu.in/product/yihua-959d-ii-hot-air-gun-with-easy-nozzle-plug-pull-storage-stand-desoldering-smd-rework-soldering-station/
,,,,,Subtotal,69.864,
,,,,,JLC Shipping,13,
,,,,,LCSC Shipping,9.26,
,,,,,Total,92.124,
