Designator,Footprint,Quantity,Value,LCSC Part #
"C11, C9",0402,2,100p,
"C12, C13, C14, C15, C18, C2, C4, C8",0402,8,100n,
C19,0402,1,27p,
"C20, C23, C24, C3, C5",0402,5,470p,
"C21, C22",0603,2,10u,
C6,0402,1,10n,
D1,0402,1,LED,
FL1,Filter_1109-5_1.1x0.9mm,1,SAFFB1G56KB0F0A,
"J1, J2",U.FL_Molex_MCRF_73412-0110_Vertical,2,Conn_Coaxial_Small,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
L1,0402,1,27n,
L2,0402,1,2.2u,
"R1, R2, R6",0402,3,10k,
R3,0402,1,1k,
R4,0402,1,20k,
"TP10, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,7,TestPoint,
U2,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,ICE40UP5K-SG48I,
U3,TQFN-28-1EP_5x5mm_P0.5mm_EP3.25x3.25mm,1,MAX2769C,
U4,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,PAM2305CGF120,
U5,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,1XXB16368MBA,
