Designator,Mid X,Mid Y,Rotation,Layer
C11,179.04,-94.35,0.0,bottom
C12,179.23,-98.9,90.0,top
C13,179.04,-95.29,0.0,bottom
C14,172.89,-89.14,0.0,bottom
C15,179.67,-90.03,90.0,bottom
C18,172.77,-89.43,270.0,top
C19,178.4875,-93.41,0.0,bottom
C2,177.4,-101.73,270.0,top
C20,178.4775,-92.48,0.0,bottom
C21,174.06,-90.02,270.0,top
C22,167.78,-94.67,270.0,bottom
C23,175.955,-98.91,90.0,top
C24,178.285,-98.9,270.0,top
C3,172.39,-93.64,270.0,top
C4,175.51,-94.24,90.0,bottom
C5,172.36,-99.21,270.0,top
C6,179.7075,-90.89,270.0,top
C8,168.6,-101.99,90.0,bottom
C9,174.05,-91.92,90.0,bottom
D1,173.61,-99.18,270.0,top
FL1,177.115,-99.21,0.0,top
H1,168.875,-90.355,0.0,top
H2,180.875,-102.355,0.0,top
J1,169.504057,-94.863745,90.0,top
J2,169.5,-99.86,90.0,top
J3,181.505,-94.509347,0.0,bottom
L1,172.37,-95.48,90.0,top
L2,174.3,-90.02,90.0,bottom
R1,168.51,-102.83,0.0,top
R2,170.919041,-102.829598,180.0,top
R3,172.373178,-101.6,270.0,top
R4,179.8675,-92.95,90.0,bottom
R6,168.04,-92.67,0.0,bottom
TP10,178.56,-96.82,180.0,bottom
TP2,167.86,-99.44,0.0,bottom
TP3,167.97,-97.21,180.0,bottom
TP4,171.68,-91.35,0.0,top
TP5,170.83,-89.43,180.0,bottom
TP6,172.57,-90.62,180.0,bottom
TP7,172.85,-103.55,0.0,top
U2,173.19,-99.34,270.0,bottom
U3,177.37,-94.5475,90.0,top
U4,176.72,-89.79,270.0,bottom
U5,171.23,-93.0,0.0,bottom
Y1,176.5875,-89.88,0.0,top
